cut_budget,realized_cut,seed,dataset,model,optimizer,params,collapse_label,train_time_sec,shots_used,n_segments,avg_seg_length,med_seg_length,sse,od,metric_type,metric_value
0.7,0.29126604580921217,3,geolife,random,none,0,healthy,3.2896440029144287,0,5807,4.42087136214913,4.0,15.98183741909386,0.05070848034317099,raw_ValCR,0.6875236223398188
0.7,0.29126604580921217,3,geolife,random,none,0,healthy,3.2896440029144287,0,5807,4.42087136214913,4.0,15.98183741909386,0.05070848034317099,nValCR,0.15922483467611467
0.7,0.29126604580921217,3,geolife,random,none,0,healthy,3.2896440029144287,0,5807,4.42087136214913,4.0,15.98183741909386,0.05070848034317099,wValCR,0.15551767197442068
1.0,0.3324439969796124,3,geolife,random,none,0,healthy,3.142197847366333,0,6611,4.004840417486008,4.0,18.185566252588963,0.050692031380782515,raw_ValCR,0.6873006014539921
1.0,0.3324439969796124,3,geolife,random,none,0,healthy,3.142197847366333,0,6611,4.004840417486008,4.0,18.185566252588963,0.050692031380782515,nValCR,0.17168445395709156
1.0,0.3324439969796124,3,geolife,random,none,0,healthy,3.142197847366333,0,6611,4.004840417486008,4.0,18.185566252588963,0.050692031380782515,wValCR,0.17161747530640362
0.0,0.0,4,geolife,random,none,0,never_cut,6.042520999908447,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,raw_ValCR,0.701877118185334
0.0,0.0,4,geolife,random,none,0,never_cut,6.042520999908447,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,nValCR,0.00435443342187336
0.0,0.0,4,geolife,random,none,0,never_cut,6.042520999908447,0,50,398.3,500.0,0.13667577465969782,0.051767126094805035,wValCR,0.0017621820692576803
0.02,0.019884218474704254,4,geolife,random,none,0,healthy,0.8477609157562256,0,443,45.84198645598194,34.0,1.1947020513031614,0.05030250146774921,raw_ValCR,0.6820192162693848
0.02,0.019884218474704254,4,geolife,random,none,0,healthy,0.8477609157562256,0,443,45.84198645598194,34.0,1.1947020513031614,0.05030250146774921,nValCR,0.0355573222360311
0.02,0.019884218474704254,4,geolife,random,none,0,healthy,0.8477609157562256,0,443,45.84198645598194,34.0,1.1947020513031614,0.05030250146774921,wValCR,0.014877610439597079
0.05,0.045909891769443746,4,geolife,random,none,0,healthy,1.026066780090332,0,956,21.77928870292887,16.0,2.6220715293630574,0.05062634817686942,raw_ValCR,0.6864100452003714
0.05,0.045909891769443746,4,geolife,random,none,0,healthy,1.026066780090332,0,956,21.77928870292887,16.0,2.6220715293630574,0.05062634817686942,nValCR,0.05669610255881472
0.05,0.045909891769443746,4,geolife,random,none,0,healthy,1.026066780090332,0,956,21.77928870292887,16.0,2.6220715293630574,0.05062634817686942,wValCR,0.031516642006222326
0.1,0.08502391140196325,4,geolife,random,none,0,healthy,1.3103880882263184,0,1733,12.462781304096941,10.0,4.791908340479571,0.050827887755201404,raw_ValCR,0.6891425905261613
0.1,0.08502391140196325,4,geolife,random,none,0,healthy,1.3103880882263184,0,1733,12.462781304096941,10.0,4.791908340479571,0.050827887755201404,nValCR,0.08221792884173224
0.1,0.08502391140196325,4,geolife,random,none,0,healthy,1.3103880882263184,0,1733,12.462781304096941,10.0,4.791908340479571,0.050827887755201404,wValCR,0.05529605099462162
0.15,0.11578152529574628,4,geolife,random,none,0,healthy,1.5252978801727295,0,2336,9.503852739726028,8.0,6.483292010529608,0.051017649857215956,raw_ValCR,0.691715452636738
0.15,0.11578152529574628,4,geolife,random,none,0,healthy,1.5252978801727295,0,2336,9.503852739726028,8.0,6.483292010529608,0.051017649857215956,nValCR,0.09773177478127935
0.15,0.11578152529574628,4,geolife,random,none,0,healthy,1.5252978801727295,0,2336,9.503852739726028,8.0,6.483292010529608,0.051017649857215956,wValCR,0.07278263579836133
0.2,0.14331739239869118,4,geolife,random,none,0,healthy,1.7392690181732178,0,2883,7.890391952826916,6.0,7.9062164397359425,0.0506199295853024,raw_ValCR,0.6863230196516936
0.2,0.14331739239869118,4,geolife,random,none,0,healthy,1.7392690181732178,0,2883,7.890391952826916,6.0,7.9062164397359425,0.0506199295853024,nValCR,0.10842284302041888
0.2,0.14331739239869118,4,geolife,random,none,0,healthy,1.7392690181732178,0,2883,7.890391952826916,6.0,7.9062164397359425,0.0506199295853024,wValCR,0.08698211999542081
0.3,0.1879184495343569,4,geolife,random,none,0,healthy,2.0907678604125977,0,3764,6.277630180658874,5.0,10.350234157959505,0.050739865758002003,raw_ValCR,0.6879491569633615
0.3,0.1879184495343569,4,geolife,random,none,0,healthy,2.0907678604125977,0,3764,6.277630180658874,5.0,10.350234157959505,0.050739865758002003,nValCR,0.12558863188950375
0.3,0.1879184495343569,4,geolife,random,none,0,healthy,2.0907678604125977,0,3764,6.277630180658874,5.0,10.350234157959505,0.050739865758002003,wValCR,0.1095873979774892
0.4,0.22300528567832872,4,geolife,random,none,0,healthy,2.3381450176239014,0,4455,5.459034792368126,5.0,12.255062757102621,0.05069075175595252,raw_ValCR,0.6872832518451614
